Evento / Analisi Collegata;Area d'impatto;Sottocategoria;Stima costo (€)
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Macchinari;Ricambio attrezzatura;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Macchinari;Ricambio pezzo macchinario;100,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Macchinari;Cambio attrezzatura;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Macchinari;Cambio Macchinario;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Infortunio sul lavoro 1gg;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Infortunio sul lavoro 2<4gg;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Infortunio sul lavoro >=5gg;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Percentuale di indennità;25,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;RAL per mansione;84,97
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Formazione neoassunto;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Manodopera;Addestramento personale;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Materiali;Carta;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Materiali;Amido;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Materiali;DPI;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Materiali;Immobiliare;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Materiali;Vari;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Metodo;Nuova procedura-istruzione;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Metodo;Periodo adattamento;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Metodo;Redistribuzione aziendale;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Vendite;Diminuzione delle vendite del 1% rispetto all’anno precedente;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Vendite;Diminuzione del fatturato del 5% rispetto all’anno precedente;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Reputazione;Diminuzione del fatturato del 10% rispetto all’anno precedente;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Reputazione;Diminuzione del fatturato del 15% rispetto all’anno precedente;0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;Sanzioni;Sanzioni amministrative / penali (scaglionate);0,00
AN | 2026-09-21 10:38:40 | Collegamento: 31/07/2026 | NM_Manutenzione | Mario Rossi;TOTALE GENERALE;SOMMA TUTTI I COSTI;184,97
