Evento / Analisi Collegata;Area d'impatto;Sottocategoria;Stima costo (€)
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Macchinari;Ricambio attrezzatura;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Macchinari;Ricambio pezzo macchinario;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Macchinari;Cambio attrezzatura;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Macchinari;Cambio Macchinario;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Infortunio sul lavoro 1gg;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Infortunio sul lavoro 2<4gg;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Infortunio sul lavoro >=5gg;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Percentuale di indennità;100,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;RAL per mansione;156,11
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Formazione neoassunto;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Manodopera;Addestramento personale;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Materiali;Carta;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Materiali;Amido;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Materiali;DPI;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Materiali;Immobiliare;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Materiali;Vari;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Metodo;Nuova procedura-istruzione;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Metodo;Periodo adattamento;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Metodo;Redistribuzione aziendale;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Vendite;Diminuzione delle vendite del 1% rispetto all’anno precedente;10000,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Vendite;Diminuzione del fatturato del 5% rispetto all’anno precedente;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Reputazione;Diminuzione del fatturato del 10% rispetto all’anno precedente;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Reputazione;Diminuzione del fatturato del 15% rispetto all’anno precedente;0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;Sanzioni;Sanzioni amministrative / penali (scaglionate);0,00
AN | 2026-09-21 12:04:45 | Collegamento: 21/09/2026 | Segnalazione NM | Near Miss | Giovanni Bianchi | In Azienda | Ondulatore;TOTALE GENERALE;SOMMA TUTTI I COSTI;10156,11
