Evento / Analisi Collegata;Area d'impatto;Sottocategoria;Stima costo (€)
Nessuna (Nuova analisi);Macchinari;Ricambio attrezzatura;1255,00
Nessuna (Nuova analisi);Macchinari;Ricambio pezzo macchinario;0,00
Nessuna (Nuova analisi);Macchinari;Cambio attrezzatura;0,00
Nessuna (Nuova analisi);Macchinari;Cambio Macchinario;0,00
Nessuna (Nuova analisi);Manodopera;Infortunio sul lavoro 1gg;0,00
Nessuna (Nuova analisi);Manodopera;Infortunio sul lavoro 2<4gg;0,00
Nessuna (Nuova analisi);Manodopera;Infortunio sul lavoro >=5gg;0,00
Nessuna (Nuova analisi);Manodopera;Percentuale di indennità;0,00
Nessuna (Nuova analisi);Manodopera;RAL per mansione;2882,91
Nessuna (Nuova analisi);Manodopera;Formazione neoassunto;0,00
Nessuna (Nuova analisi);Manodopera;Addestramento personale;0,00
Nessuna (Nuova analisi);Materiali;Carta;0,00
Nessuna (Nuova analisi);Materiali;Amido;0,00
Nessuna (Nuova analisi);Materiali;DPI;0,00
Nessuna (Nuova analisi);Materiali;Immobiliare;0,00
Nessuna (Nuova analisi);Materiali;Vari;0,00
Nessuna (Nuova analisi);Metodo;Nuova procedura-istruzione;0,00
Nessuna (Nuova analisi);Metodo;Periodo adattamento;0,00
Nessuna (Nuova analisi);Metodo;Redistribuzione aziendale;0,00
Nessuna (Nuova analisi);Vendite;Diminuzione delle vendite del 1% rispetto all’anno precedente;0,00
Nessuna (Nuova analisi);Vendite;Diminuzione del fatturato del 5% rispetto all’anno precedente;0,00
Nessuna (Nuova analisi);Reputazione;Diminuzione del fatturato del 10% rispetto all’anno precedente;0,00
Nessuna (Nuova analisi);Reputazione;Diminuzione del fatturato del 15% rispetto all’anno precedente;0,00
Nessuna (Nuova analisi);Sanzioni;Sanzioni amministrative / penali (scaglionate);0,00
Nessuna (Nuova analisi);TOTALE GENERALE;SOMMA TUTTI I COSTI;4137,91
