Evento / Analisi Collegata;Area d'impatto;Sottocategoria;Stima costo (€)
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Macchinari;Ricambio attrezzatura;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Macchinari;Ricambio pezzo macchinario;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Macchinari;Cambio attrezzatura;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Macchinari;Cambio Macchinario;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Infortunio sul lavoro 1gg;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Infortunio sul lavoro 2<4gg;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Infortunio sul lavoro >=5gg;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Percentuale di indennità;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;RAL per mansione;2882.91
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Formazione neoassunto;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Manodopera;Addestramento personale;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Materiali;Carta;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Materiali;Amido;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Materiali;DPI;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Materiali;Immobiliare;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Materiali;Vari;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Metodo;Nuova procedura-istruzione;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Metodo;Periodo adattamento;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Metodo;Redistribuzione aziendale;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Vendite;Diminuzione delle vendite del 1% rispetto all’anno precedente;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Vendite;Diminuzione del fatturato del 5% rispetto all’anno precedente;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Reputazione;Diminuzione del fatturato del 10% rispetto all’anno precedente;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Reputazione;Diminuzione del fatturato del 15% rispetto all’anno precedente;0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;Sanzioni;Sanzioni amministrative / penali (scaglionate);0.0
AN | 04-07-2026 22:17:00 | Collegamento: 04-07-2026 21:43:22 | Near Miss | ZIO;TOTALE GENERALE;SOMMA TUTTI I COSTI;2882.91
